,open,close,high,low,volume,money
2017-09-29,6564.8,6598.2,6620.0,6546.6,9176.0,12093308080.0
2017-10-09,6699.0,6684.2,6715.0,6644.4,9761.0,13045082920.0
2017-10-10,6690.2,6717.0,6718.4,6656.0,9048.0,12093669560.0
2017-10-11,6726.0,6660.8,6729.0,6646.2,9397.0,12548870640.0
2017-10-12,6656.8,6650.2,6674.6,6603.4,9198.0,12219853240.0
2017-10-13,6661.0,6722.0,6722.6,6655.4,9541.0,12764558000.0
2017-10-16,6728.0,6606.6,6728.0,6600.0,11680.0,15544021200.0
2017-10-17,6600.0,6591.8,6652.6,6584.4,10644.0,14079640560.0
2017-10-18,6598.2,6542.8,6627.8,6531.2,10362.0,13660213600.0
2017-10-19,6543.0,6497.0,6566.0,6487.0,8358.0,10917051920.0
2017-10-20,6515.8,6548.0,6559.0,6499.0,4910.0,6420483200.0
2017-10-23,6536.8,6576.2,6584.6,6520.2,8413.0,11020362880.0
2017-10-24,6570.0,6560.8,6574.2,6495.8,10951.0,14311330120.0
2017-10-25,6565.0,6599.8,6618.2,6526.0,12020.0,15821798960.0
2017-10-26,6599.8,6622.6,6671.4,6570.2,11669.0,15465571040.0
2017-10-27,6625.4,6601.4,6638.8,6566.0,9710.0,12823474920.0
2017-10-30,6600.0,6468.2,6607.0,6409.0,12708.0,16475687200.0
2017-10-31,6468.0,6507.6,6524.8,6446.6,9877.0,12806081160.0
2017-11-01,6520.0,6481.0,6563.6,6476.4,10581.0,13806708080.0
2017-11-02,6480.4,6440.0,6490.4,6403.0,10208.0,13172682280.0
2017-11-03,6440.0,6362.0,6463.0,6320.0,11202.0,14325969640.0
2017-11-06,6380.0,6475.0,6481.2,6357.2,10490.0,13468340720.0
2017-11-07,6479.8,6514.4,6519.6,6452.4,10105.0,13108304680.0
2017-11-08,6515.0,6541.0,6588.0,6504.6,10231.0,13406964360.0
2017-11-09,6540.6,6600.4,6602.0,6536.0,8469.0,11118287520.0
2017-11-10,6594.8,6619.6,6643.8,6571.6,9186.0,12135237120.0
2017-11-13,6627.0,6654.0,6666.4,6601.0,8177.0,10858545800.0
2017-11-14,6642.0,6591.2,6658.6,6575.8,9516.0,12604627000.0
